16969_1_1_1	16969_1_1_1
15893_1_1_1	15893_1_1_1
17139_1_1_1	17139_1_1_1
17139_1_1_1	17323_1_1_1
17045_1_1_1	17045_1_1_1
17045_1_1_1	17725_1_1_1
30481_1_1_1	30481_1_1_1
30481_1_1_1	245_1_1_1
30481_1_1_1	4194_1_1_1
17002_1_1_1	17002_1_1_1
17002_1_1_1	18018_1_1_1
19719_1_1_1	19719_1_1_1
19252_1_1_1	19252_1_1_1
31205_1_1_1	31205_1_1_1
25010_1_1_1	25010_1_1_1
25010_1_1_1	25007_1_1_1
10248_1_1_1	10248_1_1_1
11158_1_1_1	11158_1_1_1
11158_1_1_1	5036_1_1_1
11158_1_1_1	51311_1_1_1
11158_1_1_1	17691_1_1_1
11266_1_1_1	11266_1_1_1
10250_1_1_1	10250_1_1_1
10323_1_1_1	10323_1_1_1
10323_1_1_1	10328_1_1_1
18966_1_1_1	18966_1_1_1
18966_1_1_1	25969_1_1_1
51802_1_1_1	51802_1_1_1
19056_1_1_1	19056_1_1_1
18701_1_1_1	18701_1_1_1
15782_1_1_1	15782_1_1_1
15782_1_1_1	6725_1_1_1
15782_1_1_1	7087_1_1_1
15678_1_1_1	15678_1_1_1
15678_1_1_1	5844_1_1_1
27247_1_1_1	27247_1_1_1
27247_1_1_1	4633_1_1_1
27247_1_1_1	4222_1_1_1
27247_1_1_1	4638_1_1_1
27247_1_1_1	5529_1_1_1
17131_1_1_1	17131_1_1_1
17131_1_1_1	18261_1_1_1
17131_1_1_1	18262_1_1_1
17131_1_1_1	50972_1_1_1
17131_1_1_1	50353_1_1_1
17131_1_1_1	27683_1_1_1
17131_1_1_1	25643_1_1_1
17131_1_1_1	17148_1_1_1
52726_1_1_1	52726_1_1_1
52726_1_1_1	52727_1_1_1
16155_1_1_1	16155_1_1_1
18692_1_1_1	18692_1_1_1
17651_1_1_1	17651_1_1_1
17651_1_1_1	7132_1_1_1
16521_1_1_1	16521_1_1_1
16647_1_1_1	16647_1_1_1
16647_1_1_1	16592_1_1_1
19558_1_1_1	19558_1_1_1
18081_1_1_1	18081_1_1_1
34657_1_1_1	34657_1_1_1
16874_1_1_1	16874_1_1_1
16874_1_1_1	11062_1_1_1
16874_1_1_1	36532_1_1_1
16874_1_1_1	10137_1_1_1
18253_1_1_1	18253_1_1_1
18829_1_1_1	18829_1_1_1
15517_1_1_1	15517_1_1_1
15517_1_1_1	16617_1_1_1
15517_1_1_1	18113_1_1_1
15517_1_1_1	16945_1_1_1
15517_1_1_1	7322_1_1_1
15517_1_1_1	3471_1_1_1
17633_1_1_1	17633_1_1_1
50676_1_1_1	50676_1_1_1
18811_1_1_1	18811_1_1_1
19067_1_1_1	19067_1_1_1
19530_1_1_1	19530_1_1_1
27989_1_1_1	27989_1_1_1
27400_1_1_1	27400_1_1_1
27055_1_1_1	27055_1_1_1
27055_1_1_1	18017_1_1_1
34322_1_1_1	34322_1_1_1
34322_1_1_1	34639_1_1_1
51994_1_1_1	51994_1_1_1
52545_1_1_1	52545_1_1_1
52640_1_1_1	52640_1_1_1
52640_1_1_1	52985_1_1_1
16690_1_1_1	16690_1_1_1
50445_1_1_1	50445_1_1_1
27127_1_1_1	27127_1_1_1
11260_1_1_1	11260_1_1_1
10275_1_1_1	10275_1_1_1
11160_1_1_1	11160_1_1_1
11304_1_1_1	11304_1_1_1
11105_1_1_1	11105_1_1_1
25590_1_1_1	25590_1_1_1
25590_1_1_1	34383_1_1_1
25590_1_1_1	34281_1_1_1
25590_1_1_1	4417_1_1_1
25590_1_1_1	4671_1_1_1
25590_1_1_1	5490_1_1_1
25590_1_1_1	27961_1_1_1
25590_1_1_1	27965_1_1_1
25590_1_1_1	27967_1_1_1
25590_1_1_1	28016_1_1_1
25590_1_1_1	18281_1_1_1
25590_1_1_1	5605_1_1_1
25590_1_1_1	25968_1_1_1
25590_1_1_1	27040_1_1_1
25590_1_1_1	50811_1_1_1
25590_1_1_1	50812_1_1_1
25590_1_1_1	27687_1_1_1
25590_1_1_1	52772_1_1_1
25976_1_1_1	25976_1_1_1
18341_1_1_1	18341_1_1_1
25240_1_1_1	25240_1_1_1
15846_1_1_1	15846_1_1_1
17723_1_1_1	17723_1_1_1
19881_1_1_1	19881_1_1_1
19881_1_1_1	19714_1_1_1
27313_1_1_1	27313_1_1_1
15369_1_1_1	15369_1_1_1
15011_1_1_1	15011_1_1_1
15011_1_1_1	15010_1_1_1
15011_1_1_1	15009_1_1_1
15011_1_1_1	15008_1_1_1
15011_1_1_1	5899_1_1_1
15603_1_1_1	15603_1_1_1
30802_1_1_1	30802_1_1_1
16731_1_1_1	16731_1_1_1
34011_1_1_1	34011_1_1_1
16098_1_1_1	16098_1_1_1
50725_1_1_1	50725_1_1_1
50725_1_1_1	50621_1_1_1
50725_1_1_1	50513_1_1_1
50725_1_1_1	51748_1_1_1
50725_1_1_1	6501_1_1_1
16545_1_1_1	16545_1_1_1
27847_1_1_1	27847_1_1_1
28132_1_1_1	28132_1_1_1
19490_1_1_1	19490_1_1_1
26723_1_1_1	26723_1_1_1
36288_1_1_1	36288_1_1_1
36288_1_1_1	34803_1_1_1
50963_1_1_1	50963_1_1_1
34101_1_1_1	34101_1_1_1
25040_1_1_1	25040_1_1_1
25139_1_1_1	25139_1_1_1
34549_1_1_1	34549_1_1_1
36528_1_1_1	36528_1_1_1
36528_1_1_1	36527_1_1_1
36528_1_1_1	6265_1_1_1
30118_1_1_1	30118_1_1_1
16389_1_1_1	16389_1_1_1
11572_1_1_1	11572_1_1_1
11572_1_1_1	11142_1_1_1
17319_1_1_1	17319_1_1_1
27952_1_1_1	27952_1_1_1
27952_1_1_1	18190_1_1_1
27952_1_1_1	50168_1_1_1
27952_1_1_1	30293_1_1_1
27952_1_1_1	51996_1_1_1
27952_1_1_1	27953_1_1_1
18089_1_1_1	18089_1_1_1
18089_1_1_1	18087_1_1_1
18089_1_1_1	17857_1_1_1
18089_1_1_1	17866_1_1_1
18089_1_1_1	4892_1_1_1
18089_1_1_1	5127_1_1_1
18089_1_1_1	18088_1_1_1
18089_1_1_1	4001_1_1_1
18089_1_1_1	5103_1_1_1
18089_1_1_1	4285_1_1_1
18089_1_1_1	25069_1_1_1
16066_1_1_1	16066_1_1_1
34640_1_1_1	34640_1_1_1
19110_1_1_1	19110_1_1_1
19110_1_1_1	16681_1_1_1
11301_1_1_1	11301_1_1_1
11124_1_1_1	11124_1_1_1
11124_1_1_1	11084_1_1_1
11214_1_1_1	11214_1_1_1
10273_1_1_1	10273_1_1_1
18353_1_1_1	18353_1_1_1
18353_1_1_1	19992_1_1_1
19800_1_1_1	19800_1_1_1
36179_1_1_1	36179_1_1_1
52498_1_1_1	52498_1_1_1
52498_1_1_1	4022_1_1_1
52498_1_1_1	27859_1_1_1
16746_1_1_1	16746_1_1_1
17530_1_1_1	17530_1_1_1
52146_1_1_1	52146_1_1_1
18562_1_1_1	18562_1_1_1
18704_1_1_1	18704_1_1_1
25805_1_1_1	25805_1_1_1
18887_1_1_1	18887_1_1_1
17204_1_1_1	17204_1_1_1
51073_1_1_1	51073_1_1_1
51073_1_1_1	5973_1_1_1
17275_1_1_1	17275_1_1_1
26022_1_1_1	26022_1_1_1
30821_1_1_1	30821_1_1_1
25113_1_1_1	25113_1_1_1
30551_1_1_1	30551_1_1_1
52271_1_1_1	52271_1_1_1
25665_1_1_1	25665_1_1_1
50794_1_1_1	50794_1_1_1
28109_1_1_1	28109_1_1_1
28109_1_1_1	27591_1_1_1
28109_1_1_1	27592_1_1_1
28109_1_1_1	25441_1_1_1
18045_1_1_1	18045_1_1_1
15560_1_1_1	15560_1_1_1
15560_1_1_1	17414_1_1_1
15560_1_1_1	16634_1_1_1
25618_1_1_1	25618_1_1_1
19632_1_1_1	19632_1_1_1
16643_1_1_1	16643_1_1_1
17827_1_1_1	17827_1_1_1
17827_1_1_1	16163_1_1_1
27598_1_1_1	27598_1_1_1
17305_1_1_1	17305_1_1_1
16635_1_1_1	16635_1_1_1
17105_1_1_1	17105_1_1_1
34678_1_1_1	34678_1_1_1
34925_1_1_1	34925_1_1_1
11065_1_1_1	11065_1_1_1
51094_1_1_1	51094_1_1_1
51094_1_1_1	53421_1_1_1
36341_1_1_1	36341_1_1_1
10149_1_1_1	10149_1_1_1
10149_1_1_1	11143_1_1_1
11096_1_1_1	11096_1_1_1
11096_1_1_1	11119_1_1_1
11402_1_1_1	11402_1_1_1
10324_1_1_1	10324_1_1_1
10324_1_1_1	10142_1_1_1
51133_1_1_1	51133_1_1_1
15943_1_1_1	15943_1_1_1
15943_1_1_1	15791_1_1_1
27424_1_1_1	27424_1_1_1
16380_1_1_1	16380_1_1_1
51521_1_1_1	51521_1_1_1
16890_1_1_1	16890_1_1_1
17212_1_1_1	17212_1_1_1
30527_1_1_1	30527_1_1_1
30325_1_1_1	30325_1_1_1
19044_1_1_1	19044_1_1_1
27111_1_1_1	27111_1_1_1
15334_1_1_1	15334_1_1_1
15911_1_1_1	15911_1_1_1
17863_1_1_1	17863_1_1_1
17863_1_1_1	16237_1_1_1
18387_1_1_1	18387_1_1_1
16557_1_1_1	16557_1_1_1
50907_1_1_1	50907_1_1_1
50907_1_1_1	6945_1_1_1
15139_1_1_1	15139_1_1_1
15139_1_1_1	15611_1_1_1
34202_1_1_1	34202_1_1_1
34202_1_1_1	34216_1_1_1
30569_1_1_1	30569_1_1_1
19801_1_1_1	19801_1_1_1
19801_1_1_1	17286_1_1_1
34112_1_1_1	34112_1_1_1
34112_1_1_1	34477_1_1_1
34112_1_1_1	34490_1_1_1
16676_1_1_1	16676_1_1_1
34555_1_1_1	34555_1_1_1
36521_1_1_1	36521_1_1_1
15942_1_1_1	15942_1_1_1
15942_1_1_1	51392_1_1_1
15942_1_1_1	26316_1_1_1
34839_1_1_1	34839_1_1_1
52022_1_1_1	52022_1_1_1
51239_1_1_1	51239_1_1_1
51239_1_1_1	51240_1_1_1
18533_1_1_1	18533_1_1_1
18533_1_1_1	6722_1_1_1
26011_1_1_1	26011_1_1_1
25037_1_1_1	25037_1_1_1
26780_1_1_1	26780_1_1_1
30007_1_1_1	30007_1_1_1
30007_1_1_1	34301_1_1_1
30007_1_1_1	34299_1_1_1
34462_1_1_1	34462_1_1_1
11399_1_1_1	11399_1_1_1
11399_1_1_1	34766_1_1_1
11399_1_1_1	6178_1_1_1
10269_1_1_1	10269_1_1_1
10193_1_1_1	10193_1_1_1
11281_1_1_1	11281_1_1_1
50091_1_1_1	50091_1_1_1
15990_1_1_1	15990_1_1_1
17507_1_1_1	17507_1_1_1
17507_1_1_1	27943_1_1_1
17507_1_1_1	27947_1_1_1
16001_1_1_1	16001_1_1_1
19302_1_1_1	19302_1_1_1
51489_1_1_1	51489_1_1_1
51489_1_1_1	51879_3_1_1
51489_1_1_1	17162_1_1_1
16267_1_1_1	16267_1_1_1
15203_1_1_1	15203_1_1_1
16835_1_1_1	16835_1_1_1
16835_1_1_1	27924_1_1_1
16835_1_1_1	6610_1_1_1
16835_1_1_1	16120_1_1_1
16835_1_1_1	5128_1_1_1
16835_1_1_1	5058_1_1_1
16835_1_1_1	5064_1_1_1
16835_1_1_1	18827_1_1_1
25819_1_1_1	25819_1_1_1
25819_1_1_1	25600_1_1_1
18548_1_1_1	18548_1_1_1
18548_1_1_1	18137_1_1_1
17277_1_1_1	17277_1_1_1
17952_1_1_1	17952_1_1_1
15222_1_1_1	15222_1_1_1
15229_1_1_1	15229_1_1_1
15231_1_1_1	15231_1_1_1
15240_1_1_1	15240_1_1_1
15245_1_1_1	15245_1_1_1
15245_1_1_1	11519_1_1_1
15245_1_1_1	15000_1_1_1
15245_1_1_1	5965_1_1_1
15245_1_1_1	5964_1_1_1
15245_1_1_1	5966_1_1_1
15245_1_1_1	31220_1_1_1
15245_1_1_1	31222_1_1_1
15245_1_1_1	31223_1_1_1
15246_1_1_1	15246_1_1_1
15248_1_1_1	15248_1_1_1
15252_1_1_1	15252_1_1_1
15256_1_1_1	15256_1_1_1
15265_1_1_1	15265_1_1_1
15268_1_1_1	15268_1_1_1
15278_1_1_1	15278_1_1_1
15278_1_1_1	15277_1_1_1
15280_1_1_1	15280_1_1_1
15286_1_1_1	15286_1_1_1
15286_1_1_1	4812_1_2_1
15286_1_1_1	19700_1_1_1
15312_1_1_1	15312_1_1_1
15317_1_1_1	15317_1_1_1
15317_1_1_1	15456_1_1_1
15318_1_1_1	15318_1_1_1
15322_1_1_1	15322_1_1_1
15323_1_1_1	15323_1_1_1
15326_1_1_1	15326_1_1_1
15167_1_1_1	15167_1_1_1
15171_1_1_1	15171_1_1_1
15172_1_1_1	15172_1_1_1
15178_1_1_1	15178_1_1_1
15178_1_1_1	7106_1_1_1
1517_1_1_1	1517_1_1_1
15189_1_1_1	15189_1_1_1
15193_1_1_1	15193_1_1_1
15204_1_1_1	15204_1_1_1
15217_1_1_1	15217_1_1_1
15221_1_1_1	15221_1_1_1
15085_1_1_1	15085_1_1_1
15088_1_1_1	15088_1_1_1
15090_1_1_1	15090_1_1_1
15102_1_1_1	15102_1_1_1
15102_1_1_1	27640_1_1_1
15105_1_1_1	15105_1_1_1
15106_1_1_1	15106_1_1_1
15111_1_1_1	15111_1_1_1
15127_1_1_1	15127_1_1_1
15158_1_1_1	15158_1_1_1
15164_1_1_1	15164_1_1_1
1497_1_1_1	1497_1_1_1
1497_1_1_1	420_1_1_1
15003_1_1_1	15003_1_1_1
15003_1_1_1	15466_1_1_1
15012_1_1_1	15012_1_1_1
15021_1_1_1	15021_1_1_1
15050_1_1_1	15050_1_1_1
15050_1_1_1	20095_1_1_1
15050_1_1_1	20098_1_1_1
15050_1_1_1	36025_1_1_1
15053_1_1_1	15053_1_1_1
15053_1_1_1	15052_1_1_1
15058_1_1_1	15058_1_1_1
15061_1_1_1	15061_1_1_1
15068_1_1_1	15068_1_1_1
15082_1_1_1	15082_1_1_1
15082_1_1_1	5284_1_1_1
15082_1_1_1	5285_1_1_1
15082_1_1_1	6134_1_1_1
18822_1_1_1	18822_1_1_1
18823_1_1_1	18823_1_1_1
18830_1_1_1	18830_1_1_1
18832_1_1_1	18832_1_1_1
18841_1_1_1	18841_1_1_1
18843_1_1_1	18843_1_1_1
18845_1_1_1	18845_1_1_1
18845_1_1_1	25885_1_1_1
18853_1_1_1	18853_1_1_1
1885_1_1_1	1885_1_1_1
1885_1_1_1	4298_1_1_1
1885_1_1_1	4322_1_1_1
1886_1_1_1	1886_1_1_1
18879_1_1_1	18879_1_1_1
18879_1_1_1	18809_1_1_1
18880_1_1_1	18880_1_1_1
18883_1_1_1	18883_1_1_1
18895_1_1_1	18895_1_1_1
18896_1_1_1	18896_1_1_1
18899_1_1_1	18899_1_1_1
18908_1_1_1	18908_1_1_1
18910_1_1_1	18910_1_1_1
18917_1_1_1	18917_1_1_1
18922_1_1_1	18922_1_1_1
18926_1_1_1	18926_1_1_1
18941_1_1_1	18941_1_1_1
18945_1_1_1	18945_1_1_1
18946_1_1_1	18946_1_1_1
18961_1_1_1	18961_1_1_1
18987_1_1_1	18987_1_1_1
18988_1_1_1	18988_1_1_1
18989_1_1_1	18989_1_1_1
18993_1_1_1	18993_1_1_1
18999_1_1_1	18999_1_1_1
18999_1_1_1	19846_1_1_1
18999_1_1_1	19847_1_1_1
1869_1_1_1	1869_1_1_1
18712_1_1_1	18712_1_1_1
18717_1_1_1	18717_1_1_1
18725_1_1_1	18725_1_1_1
18728_1_1_1	18728_1_1_1
18728_1_1_1	53410_1_1_1
18728_1_1_1	53413_1_1_1
18728_1_1_1	50254_1_1_1
18738_1_1_1	18738_1_1_1
18748_1_1_1	18748_1_1_1
18756_1_1_1	18756_1_1_1
18756_1_1_1	18759_1_1_1
18756_1_1_1	18760_1_1_1
18763_1_1_1	18763_1_1_1
18765_1_1_1	18765_1_1_1
18766_1_1_1	18766_1_1_1
18769_1_1_1	18769_1_1_1
18770_1_1_1	18770_1_1_1
18770_1_1_1	18771_1_1_1
18774_1_1_1	18774_1_1_1
18783_1_1_1	18783_1_1_1
18783_1_1_1	18300_1_1_1
18783_1_1_1	25598_1_1_1
18783_1_1_1	18784_1_1_1
18783_1_1_1	18965_1_1_1
18783_1_1_1	25653_1_1_1
18786_1_1_1	18786_1_1_1
18786_1_1_1	18785_1_1_1
18791_1_1_1	18791_1_1_1
18796_1_1_1	18796_1_1_1
18796_1_1_1	27315_1_1_1
18796_1_1_1	4936_1_1_1
18799_1_1_1	18799_1_1_1
18799_1_1_1	18798_1_1_1
